"","DPA_PARROQ","DPA_DESPRO","DPA_DESCAN","DPA_DESPAR","pwettest","pop2","pdriest","max","min","tseason","m_prob"
"1","020150","BOLIVAR","GUARANDA","GUARANDA",122,22734,7,17.0599994659424,4.91599988937378,32.9926147460938,0.149458130054995
"2","020151","BOLIVAR","GUARANDA","FACUNDO VELA",413,934,21,23.6560001373291,14.1199998855591,29.2124576568604,0.281119144343523
"3","020153","BOLIVAR","GUARANDA","JULIO E. MORENO (CATANAHUAN GRANDE)",221,584,8,20.8600006103516,10.1800003051758,25.1638126373291,0.109175929649869
"4","020155","BOLIVAR","GUARANDA","SALINAS",185,16157,8,18.57200050354,8.30000019073486,28.5298843383789,0.139208887779565
"5","020156","BOLIVAR","GUARANDA","SAN LORENZO",105,2402,14,15.3319997787476,3.80800008773804,30.3044300079346,0.0467822906068485
"6","020157","BOLIVAR","GUARANDA","SAN SIMON (YACOTO)",105,3157,14,15.9320001602173,4.28800010681152,29.6620197296143,0.0516167599827796
"7","020158","BOLIVAR","GUARANDA","SANTA FE (SANTA FE)",123,0,5,19.2199993133545,6.62799978256226,28.2532787322998,0.0699517870924826
"8","020159","BOLIVAR","GUARANDA","SIMIATUG",122,8934,8,17.8880004882812,5.94000005722046,35.3549766540527,0.0761191566627934
"9","020160","BOLIVAR","GUARANDA","SAN LUIS DE PAMBIL",467,11477,23,28.9559993743896,18.2159996032715,70.7051010131836,0.361214597928004
"10","020250","BOLIVAR","CHILLANES","CHILLANES",172,9863,4,20.2360000610352,8.34799957275391,23.695426940918,0.150700837213624
"11","020251","BOLIVAR","CHILLANES","SAN JOSE DEL TAMBO (TAMBOPAMBA)",312,3139,12,25.503999710083,14.8880004882812,44.6197891235352,0.165679540628817
"12","020350","BOLIVAR","CHIMBO","SAN JOSE DE CHIMBO",127,655,6,20.0359992980957,7.30399990081787,27.4126033782959,0.0799767652322319
"13","020351","BOLIVAR","CHIMBO","ASUNCION (ASANCOTO)",131,1203,4,19.003999710083,6.56400012969971,27.5574588775635,0.0763213057319783
"14","020353","BOLIVAR","CHIMBO","MAGDALENA (CHAPACOTO)",147,2022,4,18.7360000610352,7.19199991226196,25.8867435455322,0.0768717314269402
"15","020354","BOLIVAR","CHIMBO","SAN SEBASTIAN",136,733,5,19.4720001220703,7.11999988555908,26.2982177734375,0.0795866846981791
"16","020355","BOLIVAR","CHIMBO","TELIMBELA",302,10128,8,23.431999206543,13.3400001525879,31.0441913604736,0.232038484995631
"17","020450","BOLIVAR","ECHEANDIA","ECHEANDIA",451,21806,13,28.1719989776611,17.5160007476807,76.3510284423828,0.413301222668421
"18","020550","BOLIVAR","SAN MIGUEL","SAN MIGUEL",142,4019,4,19.5,7.22800016403198,28.1974239349365,0.0910657028963558
"19","020551","BOLIVAR","SAN MIGUEL","BALSAPAMBA",288,3936,11,23.5440006256104,13.0520000457764,29.6165065765381,0.184030808070029
"20","020552","BOLIVAR","SAN MIGUEL","BILOVAN",223,3788,7,21.5879993438721,10.4399995803833,25.3368892669678,0.141242564466837
"21","020553","BOLIVAR","SAN MIGUEL","REGULO DE MORA",274,2386,9,23.7840003967285,13.3079996109009,30.7992191314697,0.156143688711264
"22","020554","BOLIVAR","SAN MIGUEL","SAN PABLO (SAN PABLO DE ATENAS)",150,5498,5,19.6280002593994,7.43599987030029,29.5564155578613,0.0986213989404817
"23","020555","BOLIVAR","SAN MIGUEL","SANTIAGO",106,1364,14,13.3520002365112,1.98800003528595,34.6369018554688,0.0361571469507368
"24","020556","BOLIVAR","SAN MIGUEL","SAN VICENTE",116,756,9,18.007999420166,6.24399995803833,25.7728366851807,0.0601156111163251
"25","020650","BOLIVAR","CALUMA","CALUMA",422,12123,8,27.503999710083,16.7320003509521,70.584846496582,0.286735246332599
"26","020750","BOLIVAR","LAS NAVES","LAS NAVES",464,2540,15,30.007999420166,19.1159992218018,76.4801177978516,0.247568930108326
"27","040150","CARCHI","TULCAN","TULCAN",131,16808,47,15.7919998168945,4.98000001907349,45.1110610961914,0.0713077896401967
"28","040151","CARCHI","TULCAN","EL CARMELO (EL PUN)",137,7127,73,16.0799999237061,5.65999984741211,51.8827743530273,0.0379938033970786
"29","040153","CARCHI","TULCAN","JULIO ANDRADE (OREJUELA)",138,18639,57,16.0400009155273,5.16400003433228,46.7603797912598,0.0803400167100091
"30","040154","CARCHI","TULCAN","MALDONADO",141,1093,28,16.076000213623,6.27600002288818,27.8035717010498,0.0445707010749701
"31","040155","CARCHI","TULCAN","PIOTER",141,3555,57,16.931999206543,5.81599998474121,46.8934097290039,0.0431751087373544
"32","040156","CARCHI","TULCAN","TOBAR DONOSO (LA BOCANA DE CAMUMBI)",364,0,173,27.7560005187988,17.8199996948242,30.0009841918945,0.264790055197682
"33","040157","CARCHI","TULCAN","TUFIÑO",121,8129,51,14.0600004196167,3.58400011062622,42.9315528869629,0.0406105345688465
"34","040158","CARCHI","TULCAN","URBINA (TAYA)",129,7246,51,15.6359996795654,4.95599985122681,47.7123680114746,0.040748535080962
"35","040159","CARCHI","TULCAN","EL CHICAL",246,1583,67,24.0879993438721,14.9440002441406,28.4235210418701,0.110664684231501
"36","040161","CARCHI","TULCAN","SANTA MARTHA DE CUBA",141,3980,57,16.931999206543,5.81599998474121,46.8934097290039,0.0440730613216411
"37","040250","CARCHI","BOLIVAR","BOLIVAR",101,1713,40,20.568000793457,8.51599979400635,23.5636157989502,0.0711116823379777
"38","040251","CARCHI","BOLIVAR","GARCIA MORENO",120,1027,25,18.8320007324219,7.02799987792969,23.9114227294922,0.0683830208648929
